8536.81 0.001 16 0 1 e 1 0 0 1 e 02 22KaTaKaCaB1
8535.92 0.001 16 0 1 e 2 0 0 1 e 03 22KaTaKaCaB2
8535.00 0.001 16 0 1 e 3 0 0 1 e 04 22KaTaKaCaB3
8534.05 0.001 16 0 1 e 4 0 0 1 e 05 22KaTaKaCaB4
8533.08 0.001 16 0 1 e 5 0 0 1 e 06 22KaTaKaCaB5
8532.08 0.001 16 0 1 e 6 0 0 1 e 07 22KaTaKaCaB6
8531.06 0.001 16 0 1 e 7 0 0 1 e 08 22KaTaKaCaB7
8530.01 0.001 16 0 1 e 8 0 0 1 e 09 22KaTaKaCaB8
8528.93 0.001 16 0 1 e 9 0 0 1 e 10 22KaTaKaCaB9
8527.82 0.001 16 0 1 e 10 0 0 1 e 11 22KaTaKaCaB10
8526.69 0.001 16 0 1 e 11 0 0 1 e 12 22KaTaKaCaB11
8525.53 0.001 16 0 1 e 12 0 0 1 e 13 22KaTaKaCaB12
8524.35 0.001 16 0 1 e 13 0 0 1 e 14 22KaTaKaCaB13
8523.14 0.001 16 0 1 e 14 0 0 1 e 15 22KaTaKaCaB14
8521.90 0.001 16 0 1 e 15 0 0 1 e 16 22KaTaKaCaB15
8520.64 0.001 16 0 1 e 16 0 0 1 e 17 22KaTaKaCaB16
8519.34 0.001 16 0 1 e 17 0 0 1 e 18 22KaTaKaCaB17
8518.03 0.001 16 0 1 e 18 0 0 1 e 19 22KaTaKaCaB18
8516.68 0.001 16 0 1 e 19 0 0 1 e 20 22KaTaKaCaB19
8515.31 0.001 16 0 1 e 20 0 0 1 e 21 22KaTaKaCaB20
8513.91 0.001 16 0 1 e 21 0 0 1 e 22 22KaTaKaCaB21
8512.49 0.001 16 0 1 e 22 0 0 1 e 23 22KaTaKaCaB22
8511.04 0.001 16 0 1 e 23 0 0 1 e 24 22KaTaKaCaB23
8509.56 0.001 16 0 1 e 24 0 0 1 e 25 22KaTaKaCaB24
8508.05 0.001 16 0 1 e 25 0 0 1 e 26 22KaTaKaCaB25
8506.52 0.001 16 0 1 e 26 0 0 1 e 27 22KaTaKaCaB26
8504.97 0.001 16 0 1 e 27 0 0 1 e 28 22KaTaKaCaB27
8503.38 0.001 16 0 1 e 28 0 0 1 e 29 22KaTaKaCaB28
8501.77 0.001 16 0 1 e 29 0 0 1 e 30 22KaTaKaCaB29
8500.13 0.001 16 0 1 e 30 0 0 1 e 31 22KaTaKaCaB30
8498.47 0.001 16 0 1 e 31 0 0 1 e 32 22KaTaKaCaB31
8496.78 0.001 16 0 1 e 32 0 0 1 e 33 22KaTaKaCaB32
8495.06 0.001 16 0 1 e 33 0 0 1 e 34 22KaTaKaCaB33
8493.32 0.001 16 0 1 e 34 0 0 1 e 35 22KaTaKaCaB34
8491.55 0.001 16 0 1 e 35 0 0 1 e 36 22KaTaKaCaB35
