u      12L3Euablce	Bj     T			U			 u                              O	
456	15112-01102	P25	5770.452634	1.1513E-27	5770.45540		 -2.8													
456	15112-01102	P26	5769.335675	8.8725E-28	5769.33690		 -1.2													
456	15112-01102	P27	5768.207225	7.8505E-28	5768.20690		  0.3													
456	15112-01102	P28	5767.064841	5.7504E-28	5767.06550		 -0.7													
456	15112-01102	P29	5765.911489	4.9632E-28	5765.91260		 -1.1													
456	15112-01102	P30	5764.747307	4.4927E-28	5764.74820		 -0.9													
456	15112-01102	P31	5763.571589	4.2799E-28	5763.57240		 -0.8													
456	15112-01102	P32	5762.384079	3.5449E-28	5762.38490		 -0.8													
456	15112-01102	P33	5761.184474	3.3855E-28	5761.18600		 -1.5													
456	15112-01102	P34	5759.975251	3.1923E-28	5759.97540		 -0.1													
456	15112-01102	P35	5758.753252	7.4378E-28	5758.75330		 -0.0													
456	15112-01102	P36	5757.517614	3.4699E-28	5757.51960		 -2.0													
456	15112-01102	P37	5756.273132	3.5506E-28	5756.27420		 -1.1													
456	15112-01102	P38	5755.016486	1.6843E-28	5755.01720		 -0.7													
456	15112-01102	P39	5753.748557	2.2169E-28	5753.74840		  0.2													
456	15112-01102	P40	5752.466045	1.2837E-28	5752.46800		 -2.0													
456	15112-01102	P41	5751.175144	1.4490E-28	5751.17580		 -0.7													
456	15112-01102	P43	5748.556711	1.4166E-28	5748.55590		  0.8													
456	15112-01102	P44	5747.230911	5.1067E-28	5747.22820		  2.7													
456	15112-01102	R01	5796.337101	1.4706E-28	5796.34390		 -6.8													
456	15112-01102	R02	5797.152503	2.3199E-28	5797.15620		 -3.7													
456	15112-01102	R04	5798.746115	5.8023E-28	5798.75050		 -4.4													
456	15112-01102	R05	5799.527104	4.3301E-28	5799.53160		 -4.5													
456	15112-01102	R06	5800.297215	6.4526E-28	5800.30130		 -4.1													
456	15112-01102	R07	5801.057884	9.1637E-28	5801.05940		 -1.5													
456	15112-01102	R08	5801.803738	7.5338E-28	5801.80580		 -2.1													
456	15112-01102	R09	5802.537107	1.4209E-27	5802.54030		 -3.2													
456	15112-01102	R10	5803.260826	9.7697E-28	5803.26300		 -2.2													
456	15112-01102	R11	5803.971514	1.0539E-27	5803.97370		 -2.2													
456	15112-01102	R12	5804.671259	1.7008E-27	5804.67260		 -1.3													
456	15112-01102	R13	5805.357673	1.0771E-27	5805.35970		 -2.0													
456	15112-01102	R14	5806.033011	9.5335E-28	5806.03500		 -2.0													
456	15112-01102	R15	5806.696578	1.1082E-27	5806.69850		 -1.9													
456	15112-01102	R16	5807.348820	1.0710E-27	5807.35030		 -1.5													
456	15112-01102	R17	5807.988621	1.3482E-27	5807.99040		 -1.8													
456	15112-01102	R18	5808.617598	1.5056E-27	5808.61890		 -1.3													
456	15112-01102	R19	5809.235275	1.0274E-27	5809.23560		 -0.3													
456	15112-01102	R20	5809.840696	1.0872E-27	5809.84080		 -0.1													
456	15112-01102	R21	5810.434949	1.0628E-27	5810.43420		  0.7													
456	15112-01102	R22	5811.016094	1.0971E-27	5811.01610		 -0.0													
456	15112-01102	R23	5811.583594	1.1201E-27	5811.58620		 -2.6													
456	15112-01102	R24	5812.143697	9.5221E-28	5812.14470		 -1.0													
456	15112-01102	R25	5812.689670	9.7779E-28	5812.69150		 -1.8													
456	15112-01102	R26	5813.225450	6.7884E-28	5813.22660		 -1.2													
456	15112-01102	R27	5813.750250	6.8006E-28	5813.75000		  0.3													
456	15112-01102	R29	5814.761230	6.6547E-28	5814.76160		 -0.4													
456	15112-01102	R30	5815.249683	5.4806E-28	5815.24970		 -0.0													
456	15112-01102	R31	5815.724927	5.3800E-28	5815.72600		 -1.1													
456	15112-01102	R32	5816.190301	3.5732E-28	5816.19050		 -0.2													
456	15112-01102	R33	5816.643510	2.5188E-27	5816.64300		  0.5													
456	15112-01102	R34	5817.082277	3.7083E-28	5817.08370		 -1.4													
456	15112-01102	R36	5817.928525	2.7318E-28	5817.92920		 -0.7													
456	15112-01102	R37	5818.332592	3.0907E-28	5818.33390		 -1.3													
456	15112-01102	R44	5820.825547	1.2059E-28	5820.82700		 -1.5													
456	15112-01102	R49	5822.235969	7.4982E-29	5822.23790		 -1.9		
456	22011-00001	P03	5806.379180	3.5609E-27	5806.37970		 -0.5													
456	22011-00001	P04	5805.506039	5.6149E-27	5805.50600		  0.0													
456	22011-00001	P05	5804.619330	5.5093E-27	5804.62040		 -1.1													
456	22011-00001	P06	5803.721941	6.3565E-27	5803.72280		 -0.9													
456	22011-00001	P07	5802.809587	2.6526E-26	5802.81330		 -3.7		 blended							
456	22011-00001	P08	5801.891658	8.0664E-27	5801.89190		 -0.2													
456	22011-00001	P09	5800.958316	9.2010E-27	5800.95850		 -0.2													
456	22011-00001	P10	5800.012542	9.5904E-27	5800.01320		 -0.7													
456	22011-00001	P11	5799.054395	1.2231E-26	5799.05580		 -1.4													
456	22011-00001	P12	5798.086233	1.0276E-26	5798.08650		 -0.3													
456	22011-00001	P13	5797.104852	1.0102E-26	5797.10510		 -0.2													
456	22011-00001	P14	5796.111564	1.0695E-26	5796.11170		 -0.1													
456	22011-00001	P15	5795.106008	1.0890E-26	5795.10620		 -0.2													
456	22011-00001	P16	5794.088128	1.1177E-26	5794.08850		 -0.4													
456	22011-00001	P17	5793.057779	1.0766E-26	5793.05880		 -1.0													
456	22011-00001	P18	5792.015851	1.0674E-26	5792.01690		 -1.0													
456	22011-00001	P19	5790.961723	1.0030E-26	5790.96280		 -1.1													
456	22011-00001	P20	5789.895520	9.9922E-27	5789.89650		 -1.0													
456	22011-00001	P21	5788.817065	9.7731E-27	5788.81790		 -0.8													
456	22011-00001	P22	5787.725883	9.1440E-27	5787.72710		 -1.2													
456	22011-00001	P23	5786.622567	8.5682E-27	5786.62390		 -1.3													
456	22011-00001	P24	5785.507199	8.2614E-27	5785.50830		 -1.1													
456	22011-00001	P25	5784.379830	8.1878E-27	5784.38040		 -0.6													
456	22011-00001	P26	5783.239135	7.2483E-27	5783.24000		 -0.9													
456	22011-00001	P27	5782.086431	6.6462E-27	5782.08710		 -0.7													
456	22011-00001	P28	5780.920172	5.7472E-27	5780.92170		 -1.5													
456	22011-00001	P29	5779.742859	6.0655E-27	5779.74370		 -0.8													
456	22011-00001	P30	5778.553009	4.8529E-27	5778.55310		 -0.1													
456	22011-00001	P35	5772.407791	3.4455E-27	5772.40930		 -1.5													
456	22011-00001	P36	5771.142216	2.3230E-27	5771.14200		  0.2													
456	22011-00001	P37	5769.860899	2.5410E-27	5769.86180		 -0.9													
456	22011-00001	P38	5768.567080	2.2756E-27	5768.56870		 -1.6													
456	22011-00001	P40	5765.941364	1.6351E-27	5765.94310		 -1.7													
456	22011-00001	P41	5764.609164	1.4641E-27	5764.61060		 -1.4													
456	22011-00001	P42	5763.263652	1.8471E-27	5763.26500		 -1.3													
456	22011-00001	P43	5761.904279	1.0920E-27	5761.90620		 -1.9													
456	22011-00001	P44	5760.532164	9.1785E-28	5760.53400		 -1.8													
456	22011-00001	P46	5757.747918	6.7811E-28	5757.74980		 -1.9													
456	22011-00001	P47	5756.334066	5.1413E-28	5756.33760		 -3.5													
456	22011-00001	P49	5753.471080	4.1551E-28	5753.47290		 -1.8													
456	22011-00001	P50	5752.018569	3.2382E-28	5752.02020		 -1.6													
456	22011-00001	P54	5746.071754	1.6450E-28	5746.07380		 -2.0													
456	22011-00001	R00	5809.755618	1.1266E-27	5809.75540		  0.2													
456	22011-00001	R01	5810.569419	2.4173E-27	5810.56950		 -0.1													
456	22011-00001	R02	5811.373286	4.3339E-27	5811.37170		  1.6		 blended							
456	22011-00001	R03	5812.161706	4.8782E-27	5812.16190		 -0.2									
456	22011-00001	R04	5812.940263	6.2947E-27	5812.94020		  0.1									
456	22011-00001	R05	5813.706355	6.6044E-27	5813.70640		 -0.0									
456	22011-00001	R06	5814.460574	7.5572E-27	5814.46070		 -0.1									
456	22011-00001	R07	5815.203236	8.3563E-27	5815.20300		  0.2									
456	22011-00001	R08	5815.932673	1.0397E-26	5815.93320		 -0.5									
456	22011-00001	R09	5816.650764	9.8096E-27	5816.65140		 -0.6									
456	22011-00001	R10	5817.357168	1.0629E-26	5817.35750		 -0.3									
456	22011-00001	R11	5818.051053	1.1352E-26	5818.05140		 -0.3									
456	22011-00001	R12	5818.734957	2.8727E-26	5818.73320		  1.8		 blended						
456	22011-00001	R13	5819.402437	1.2755E-26	5819.40280		 -0.4									
