12L3Euablce	B j	T												
5200e-0000e	P 28	7536.664575												
5200e-0000e	P 31	7532.489185												
5200e-0000e	P 32	7531.062092												
5200e-0000e	P 33	7529.613335												
5200e-0000e	P 38	7522.115648												
5200e-0000e	P 40	7518.993121												
5200e-0000e	R 03	7570.586761												
5200e-0000e	R 04	7571.326494												
5200e-0000e	R 06	7572.748023												
5200e-0000e	R 07	7573.429522												
5200e-0000e	R 09	7574.736931												
5200e-0000e	R 10	7575.360064												
5200e-0000e	R 15	7578.187202												
5200e-0000e	R 16	7578.695493												
5200e-0000e	R 19	7580.102853												
5200e-0000e	R 21	7580.946931												
5200e-0000e	R 22	7581.340774												
5200e-0000e	R 23	7581.711848												
5200e-0000e	R 24	7582.069217												
5200e-0000e	R 25	7582.405735												
5200e-0000e	R 26	7582.723427												
5200e-0000e	R 28	7583.302063												
5200e-0000e	R 33	7584.427872												
5200e-0000e	R 35	7584.754129												
1113e-0110e     P 02 	7613.29755												
1113e-0110e	P 04	7611.502012												
1113e-0110e	P 05	7610.569821												
1113e-0110e	P 07	7608.639584												
1113e-0110e	P 08	7607.636461												
1113e-0110e	P 09	7606.611717												
1113e-0110e	P 10	7605.562499												
1113e-0110e	P 11	7604.490752												
1113e-0110e	P 12	7603.396311												
1113e-0110e	P 13	7602.276259												
1113e-0110e	P 14	7601.134459												
1113e-0110e	P 15	7599.969118												
1113e-0110e	P 16	7598.779591												
1113e-0110e	P 17	7597.567847												
1113e-0110e	P 18	7596.332492												
1113e-0110e	P 19	7595.07499												
1113e-0110e	P 20	7593.791527												
1113e-0110e	P 21	7592.485883												
1113e-0110e	P 22	7591.157417												
1113e-0110e	P 24	7588.427372												
1113e-0110e	P 25	7587.030401												
1113e-0110e	P 28	7582.694787												
1113e-0110e	P 30	7579.687997												
1113e-0110e	P 31	7578.149278												
1113e-0110e	P 34	7573.394542												
1113e-0110e	P 35	7571.764955												
1113e-0110e	P 36	7570.109885												
1113e-0110e	P 37	7568.430683												
1113e-0110e	P 39	7565.006928												
1113e-0110e	P 40	7563.261326												
1113e-0110e	P 44	7556.039124												
1113e-0110e	P 46	7552.290373												
1113e-0110e	R 04	7618.841485												
1113e-0110e	R 05	7619.536009												
1113e-0110e	R 06	7620.210665												
1113e-0110e	R 07	7620.859442												
1113e-0110e	R 08	7621.488424												
1113e-0110e	R 09	7622.092594												
1113e-0110e	R 10	7622.673909												
1113e-0110e	R 12	7623.762165												
1113e-0110e	R 13	7624.273307												
1113e-0110e	R 14	7624.759225												
1113e-0110e	R 15	7625.222672												
1113e-0110e	R 17	7626.078353												
1113e-0110e	R 18	7626.470291												
1113e-0110e	R 20	7627.185375												
1113e-0110e	R 23	7628.082081												
1113e-0110e	R 26	7628.768716												
1113e-0110e	R 27	7628.94838												
1113e-0110e	R 28	7629.10658												
1113e-0110e	R 30	7629.35067												
1113e-0110e	R 31	7629.437599												
1113e-0110e	R 42	7628.848964												
1113e-0110e	R 43	7628.651373												
1113e-0110f	Q 01	7614.97492												
1113e-0110f	Q 02	7614.921021												
1113e-0110f	Q 03	7614.846816												
1113e-0110f	Q 06	7614.471901												
1113f-0110e	Q 02	7614.933123												
1113f-0110e	Q 03	7614.868349												
1113f-0110f	P 06	7609.610212												
1113f-0110f	P 07	7608.628727												
1113f-0110f	P 08	7607.624656												
1113f-0110f	P 10	7605.547995												
1113f-0110f	P 11	7604.474943												
1113f-0110f	P 12	7603.378424												
1113f-0110f	P 14	7601.114632												
1113f-0110f	P 15	7599.948448												
1113f-0110f	P 17	7597.543773												
1113f-0110f	P 18	7596.311852												
1113f-0110f	P 20	7593.765903												
1113f-0110f	P 21	7592.458856												
1113f-0110f	P 22	7591.129853												
1113f-0110f	P 23	7589.775887												
1113f-0110f	P 24	7588.401327												
1113f-0110f	P 25	7587.000248												
1113f-0110f	P 26	7585.578124												
1113f-0110f	P 27	7584.133128												
1113f-0110f	P 29	7581.171201												
1113f-0110f	P 30	7579.654316												
1113f-0110f	P 31	7578.117282												
1113f-0110f	P 34	7573.363954												
1113f-0110f	P 35	7571.729678												
1113f-0110f	P 36	7570.076035												
1113f-0110f	P 40	7563.227703												
1113f-0110f	P 43	7557.848088												
1113f-0110f	P 44	7556.007012												
1113f-0110f	P 46	7552.262346												
1113f-0110f	R 01	7616.606574												
1113f-0110f	R 02	7617.375653												
1113f-0110f	R 05	7619.546202												
1113f-0110f	R 06	7620.222101												
1113f-0110f	R 07	7620.876006												
1113f-0110f	R 08	7621.504232												
1113f-0110f	R 09	7622.11297												
1113f-0110f	R 12	7623.786768												
1113f-0110f	R 14	7624.78785												
1113f-0110f	R 15	7625.252994												
1113f-0110f	R 16	7625.696089												
1113f-0110f	R 17	7626.113658												
1113f-0110f	R 18	7626.50855												
1113f-0110f	R 19	7626.880553												
1113f-0110f	R 20	7627.226139												
1113f-0110f	R 21	7627.55402												
1113f-0110f	R 22	7627.855853												
1113f-0110f	R 23	7628.132015												
1113f-0110f	R 24	7628.386572												
1113f-0110f	R 25	7628.616877												
1113f-0110f	R 26	7628.82445												
1113f-0110f	R 27	7629.009264												
1113f-0110f	R 28	7629.170667												
1113f-0110f	R 29	7629.303871												
1113f-0110f	R 30	7629.418735												
1113f-0110f	R 32	7629.57662												
1113f-0110f	R 33	7629.617047												
1113f-0110f	R 34	7629.6387												
1113f-0110f	R 41	7629.123541												
1003e-0000e	P 01    7649.915906												
1003e-0000e	P 02	7649.054612												
1003e-0000e	P 03	7648.16893												
1003e-0000e	P 04	7647.25947												
1003e-0000e	P 05	7646.326462												
1003e-0000e	P 06	7645.370123												
1003e-0000e	P 07	7644.389676												
1003e-0000e	P 08	7643.384904												
1003e-0000e	P 09	7642.357528												
1003e-0000e	P 11	7640.230282												
1003e-0000e	P 12	7639.131696												
1003e-0000e	P 13	7638.008908												
1003e-0000e	P 14	7636.862556												
1003e-0000e	P 15	7635.692122												
1003e-0000e	P 16	7634.498457												
1003e-0000e	P 17	7633.281263												
1003e-0000e	P 18	7632.039103												
1003e-0000e	P 19	7630.775046												
1003e-0000e	P 20	7629.486365												
1003e-0000e	P 21	7628.174078												
1003e-0000e	P 22	7626.838656												
1003e-0000e	P 23	7625.478725												
1003e-0000e	P 24	7624.095316												
1003e-0000e	P 25	7622.68936												
1003e-0000e	P 26	7621.258241												
1003e-0000e	P 27	7619.804049												
1003e-0000e	P 28	7618.326526												
1003e-0000e	P 29	7616.825261												
1003e-0000e	P 31	7613.752085												
1003e-0000e	P 32	7612.180231												
1003e-0000e	P 33	7610.584432												
1003e-0000e	P 34	7608.964696												
1003e-0000e	P 35	7607.322113												
1003e-0000e	P 36	7605.65575												
1003e-0000e	P 38	7602.253561												
1003e-0000e	P 39	7600.51514												
1003e-0000e	P 40	7598.755796												
1003e-0000e	P 41	7596.969686												
1003e-0000e	P 42	7595.162284												
1003e-0000e	P 43	7593.332007												
1003e-0000e	P 44	7591.477576												
1003e-0000e	P 45	7589.599319												
1003e-0000e	P 46	7587.697997												
1003e-0000e	P 47	7585.772647												
1003e-0000e	P 48	7583.822549												
1003e-0000e	P 49	7581.852806												
1003e-0000e	P 50	7579.85534												
1003e-0000e	P 53	7573.729019												
1003e-0000e	P 55	7569.528261												
1003e-0000e	P 57	7565.23153												
1003e-0000e	R 01	7652.358489												
